date,time,srcIP,distIP,port,flow
2016-4-1,11:22:47,202.120.220.25,202.120.216.221,80,625
2016-4-1,11:22:48,202.120.216.63,202.120.112.246,80,1799
2016-4-1,11:22:48,202.120.220.104,202.120.216.221,80,3201
2016-4-1,11:22:48,202.120.220.170,202.120.216.221,80,241
2016-4-1,11:22:48,202.120.220.170,202.120.216.221,80,241
2016-4-1,11:22:58,202.120.141.125,202.120.160.37,80,4464
2016-4-1,11:23:07,202.120.169.190,202.120.160.248,80,429
2016-4-1,11:23:11,202.120.220.19,202.120.112.246,80,2027
2016-4-1,11:23:11,202.120.216.107,202.120.112.246,80,2027
2016-4-1,11:23:11,202.120.220.178,202.120.216.221,80,2893
2016-4-1,11:23:11,202.120.216.78,202.120.216.221,80,1763
2016-4-1,11:23:11,202.120.220.130,202.120.216.221,80,1897
2016-4-1,11:23:11,202.120.220.25,202.120.112.246,80,1799
2016-4-1,11:23:11,202.120.216.63,202.120.112.246,80,2027
2016-4-1,11:23:11,202.120.216.229,202.120.112.246,80,1830
2016-4-1,11:23:11,202.120.216.229,202.120.112.246,80,404
2016-4-1,11:23:12,202.120.220.130,202.120.112.246,80,1759
2016-4-1,11:23:12,202.120.220.25,202.120.112.247,80,3251
2016-4-1,11:23:12,202.120.216.221,202.120.216.221,80,2403
2016-4-1,11:23:12,202.120.216.63,202.120.216.221,80,2899
2016-4-1,11:23:12,202.120.216.106,202.120.112.246,80,2041
2016-4-1,11:23:12,202.120.216.230,202.120.0.22,80,744
2016-4-1,11:23:12,202.120.220.130,202.120.112.246,80,3141
2016-4-1,11:23:12,202.120.216.221,202.120.218.221,80,3383
2016-4-1,11:23:12,202.120.216.78,202.120.112.246,80,1925
2016-4-1,11:23:12,202.120.220.229,202.120.218.221,80,3328
2016-4-1,11:23:12,202.120.220.178,202.120.112.246,80,1741
2016-4-1,11:23:12,202.120.216.50,202.120.112.246,80,3261
2016-4-1,11:23:12,202.120.216.221,202.120.216.221,80,4039
2016-4-1,11:23:12,202.120.220.55,202.120.4.11,80,18711
2016-4-1,11:23:12,202.120.216.63,202.120.216.221,80,4749
2016-4-1,11:23:12,202.120.220.55,202.120.4.11,80,18126
2016-4-1,11:23:12,202.120.216.78,202.120.112.246,80,3267
2016-4-1,11:23:12,202.120.220.178,202.120.112.246,80,292
2016-4-1,11:23:12,202.120.220.178,202.120.112.246,80,2448
2016-4-1,11:23:12,202.120.220.231,202.120.2.181,80,1917
2016-4-1,11:23:12,202.120.220.178,202.120.112.246,80,3484
2016-4-1,11:23:12,202.120.220.175,202.120.216.221,80,292
2016-4-1,11:23:12,202.120.216.106,202.120.112.246,80,3261
2016-4-1,11:23:12,202.120.220.152,202.120.112.246,80,3245
2016-4-1,11:23:12,202.120.220.122,202.120.112.246,80,3247
2016-4-1,11:23:12,202.120.220.152,202.120.112.246,80,2025
2016-4-1,11:23:12,202.120.220.122,202.120.112.246,80,2027
2016-4-1,11:23:12,202.120.220.35,202.120.16.53,80,51343
2016-4-1,11:23:12,202.120.220.25,202.120.112.247,80,4981
2016-4-1,11:23:12,202.120.220.35,202.120.16.53,80,27833
2016-4-1,11:23:12,202.120.220.230,202.120.0.10,80,739
2016-4-1,11:23:12,202.120.216.50,202.120.112.246,80,2041
2016-4-1,11:23:15,202.120.140.100,202.120.236.174,80,758
2016-4-1,11:23:18,202.120.140.228,202.120.165.198,80,752
