date,time,srcIP,distIP,port,flow
2016-4-1,0:45:34,202.120.3.22,202.120.0.11,80,2047
2016-4-1,0:45:34,202.120.8.10,202.120.8.11,80,540
2016-4-1,0:45:34,202.120.0.30,202.120.0.20,80,2618
2016-4-1,0:45:34,202.120.2.19,202.120.0.11,80,292
2016-4-1,0:45:34,202.120.5.34,202.120.0.33,80,228
2016-4-1,0:45:34,202.120.8.12,202.120.0.33,80,95
2016-4-1,0:45:34,202.120.0.2,202.120.1.2,80,116
2016-4-1,0:45:34,202.120.0.30,202.120.0.20,80,2632
2016-4-1,0:45:34,202.120.1.42,202.120.8.13,80,206
2016-4-1,0:45:34,202.120.0.30,202.120.0.35,80,445
2016-4-1,0:45:34,202.120.1.36,202.120.0.11,80,641
2016-4-1,0:45:34,202.120.0.30,202.120.0.3,80,2984
2016-4-1,0:45:34,202.120.0.30,202.120.0.35,80,484
2016-4-1,0:45:34,202.120.0.30,202.120.0.35,80,479
2016-4-1,0:45:51,202.120.8.14,202.120.0.33,80,69
2016-4-1,0:45:51,202.120.1.33,202.120.8.15,80,110
2016-4-1,0:45:51,202.120.1.42,202.120.0.33,80,316
2016-4-1,0:45:51,202.120.1.42,202.120.0.33,80,316
2016-4-1,0:45:51,202.120.1.42,202.120.0.33,80,227259
2016-4-1,0:45:57,202.120.8.16,202.120.8.17,80,106117
2016-4-1,0:45:58,202.120.0.13,202.120.0.20,80,4743
2016-4-1,0:45:58,202.120.0.8,202.120.0.35,80,3328
2016-4-1,0:45:58,202.120.0.13,202.120.0.20,80,2893
2016-4-1,0:45:58,202.120.1.5,202.120.0.11,80,358
2016-4-1,0:45:58,202.120.1.17,202.120.0.11,80,2043
2016-4-1,0:45:58,202.120.3.2,202.120.0.11,80,1468
2016-4-1,0:45:58,202.120.1.18,202.120.0.11,80,1724
2016-4-1,0:45:58,202.120.1.17,202.120.0.11,80,3345
2016-4-1,0:45:58,202.120.3.25,202.120.0.11,80,292
2016-4-1,0:45:58,202.120.1.42,202.120.0.33,80,192
2016-4-1,0:45:58,202.120.1.5,202.120.0.11,80,3329
2016-4-1,0:45:58,202.120.3.25,202.120.0.11,80,2861
2016-4-1,0:45:58,202.120.3.26,202.120.0.11,80,292
2016-4-1,0:45:58,202.120.0.30,202.120.5.5,80,3515
2016-4-1,0:45:58,202.120.3.25,202.120.0.11,80,641
2016-4-1,0:45:58,202.120.3.25,202.120.0.11,80,3387
2016-4-1,0:45:58,202.120.1.8,202.120.1.9,80,1917
2016-4-1,0:45:58,202.120.1.18,202.120.0.11,80,1731
2016-4-1,0:45:59,202.120.0.13,202.120.0.11,80,1799
2016-4-1,0:45:59,202.120.2.7,202.120.0.11,80,1901
2016-4-1,0:45:59,202.120.3.2,202.120.0.21,80,1649
2016-4-1,0:46:02,202.120.8.16,202.120.8.17,80,4467
2016-4-1,0:46:13,202.120.4.15,202.120.4.16,80,1514
2016-4-1,0:46:13,202.120.4.15,202.120.4.16,80,364
2016-4-1,0:46:15,202.120.4.15,202.120.4.16,80,821
2016-4-1,0:46:15,202.120.4.15,202.120.4.16,80,3056
2016-4-1,0:46:17,202.120.8.18,202.120.8.17,80,34778
2016-4-1,0:46:18,202.120.0.37,202.120.1.0,80,238
2016-4-1,0:46:28,202.120.8.19,202.120.0.7,80,1524
2016-4-1,0:46:31,202.120.0.8,202.120.0.35,80,67954
2016-4-1,0:46:31,202.120.5.9,202.120.0.11,80,5943
2016-4-1,0:46:31,202.120.1.32,202.120.0.11,80,120
2016-4-1,0:46:31,202.120.0.8,202.120.0.35,80,1492
2016-4-1,0:46:31,202.120.1.32,202.120.0.11,80,1491
2016-4-1,0:46:31,202.120.0.8,202.120.0.31,80,1741
2016-4-1,0:46:31,202.120.0.8,202.120.0.31,80,1680
2016-4-1,0:46:31,202.120.1.32,202.120.0.11,80,2896
2016-4-1,0:46:31,202.120.1.36,202.120.0.11,80,3337
2016-4-1,0:46:31,202.120.1.34,202.120.1.9,80,1917
2016-4-1,0:46:31,202.120.0.8,202.120.0.3,80,3131
2016-4-1,0:46:31,202.120.0.8,202.120.1.2,80,3689
2016-4-1,0:46:31,202.120.0.27,202.120.6.8,80,99602
2016-4-1,0:46:31,202.120.5.9,202.120.0.11,80,4773
2016-4-1,0:46:31,202.120.2.9,202.120.0.11,80,2007
2016-4-1,0:46:31,202.120.0.30,202.120.5.36,80,1040
2016-4-1,0:46:31,202.120.0.30,202.120.5.36,80,352
2016-4-1,0:46:31,202.120.0.8,202.120.0.11,80,1907
2016-4-1,0:46:31,202.120.0.8,202.120.0.11,80,404
2016-4-1,0:46:31,202.120.1.7,202.120.0.24,80,3207
2016-4-1,0:46:31,202.120.1.15,202.120.0.11,80,2049
2016-4-1,0:46:31,202.120.2.6,202.120.0.11,80,2027
2016-4-1,0:46:31,202.120.2.12,202.120.0.11,80,2027
2016-4-1,0:46:31,202.120.0.8,202.120.1.2,80,104
2016-4-1,0:46:31,202.120.0.8,202.120.1.2,80,106
2016-4-1,0:46:31,202.120.0.8,202.120.1.2,80,3143
2016-4-1,0:46:31,202.120.0.8,202.120.0.3,80,3669
2016-4-1,0:46:31,202.120.0.15,202.120.0.20,80,173
2016-4-1,0:46:31,202.120.0.8,202.120.0.3,80,1887
2016-4-1,0:46:31,202.120.1.36,202.120.0.11,80,2035
2016-4-1,0:46:31,202.120.5.9,202.120.0.11,80,316
2016-4-1,0:46:31,202.120.0.8,202.120.0.3,80,404
2016-4-1,0:46:31,202.120.0.8,202.120.1.2,80,404
2016-4-1,0:46:31,202.120.0.8,202.120.1.2,80,1907
